calculate_date,book_match_count,book_not_match_count,payment_match_count,payment_not_match_count,book_mailroom,book_vendor,book_epayment,payment_mailroom,payment_vendor,payment_epayment,aff_company
16/05/27,0,0,0,4,0,0,0,0,0,0,700110
16/05/25,126,1,721,520,0,0,0,0,0,0,760010
16/05/24,0,0,0,10,0,0,0,0,0,0,700110
16/05/12,78,67,1798,850,0,0,0,0,0,0,760410
16/05/04,0,2,0,16,0,0,0,0,0,0,700110
16/06/01,49,20,787,501,0,0,0,0,0,0,760010
16/05/10,0,41,0,4587,0,0,0,0,0,0,760210
16/05/11,110,45,1814,967,100,100,100,100,100,100,760310
16/05/28,81,45,1704,1553,0,0,0,0,0,0,760310
16/06/05,31,31,847,541,0,0,0,0,0,0,760310
16/05/14,2,2,1164,1717,0,0,0,0,0,0,760310
16/06/06,2,142,1136,5378,0,0,0,0,0,0,760310
16/05/22,73,36,1917,1476,0,0,0,0,0,0,760310
16/06/04,14,7,1715,903,0,0,0,0,0,0,760410
16/05/09,0,0,13,7,0,0,0,0,0,0,761610
16/05/30,0,69,0,337,0,0,0,0,0,0,770110
16/05/04,111,29,1917,2511,0,0,0,0,0,0,760210
16/06/01,54,49,1988,883,0,0,0,0,0,0,760410
16/05/07,284,48,1507,1032,0,0,0,0,0,0,760410
16/06/02,0,0,0,3,0,0,0,0,0,0,700110
16/05/18,30,53,3073,1880,0,0,0,0,0,0,760210
16/05/24,61,38,1905,839,0,0,0,0,0,0,760410
16/05/05,125,33,1508,802,0,0,0,0,0,0,760410
16/05/11,44,36,848,789,0,0,0,0,0,0,760010
16/05/15,0,0,921,1825,0,0,0,0,0,0,760410
16/05/17,0,9,0,287,0,0,0,0,0,0,770110
16/05/14,0,49,0,270,0,0,0,0,0,0,770110
16/06/06,0,2,0,3,0,0,0,0,0,0,760310
16/05/16,0,3,0,10,0,0,0,0,0,0,700110
16/05/23,0,1,12,12,0,0,0,0,0,0,761610
16/05/08,284,48,1507,1032,0,0,0,0,0,0,760410
16/05/31,64,85,2982,2045,0,0,0,0,0,0,760210
16/05/21,0,0,0,10,0,0,0,0,0,0,700110
16/05/25,0,0,0,10,0,0,0,0,0,0,700110
16/05/25,181,23,1892,970,0,0,0,0,0,0,760410
16/05/24,49,45,1832,1584,0,0,0,0,0,0,760310
16/05/05,31,30,1596,1132,0,0,0,0,0,0,760310
16/05/13,0,3,0,9,0,0,0,0,0,0,700110
16/05/10,0,0,0,270,0,0,0,0,0,0,770110
16/05/11,123,36,1929,936,0,0,0,0,0,0,760410
16/05/28,20,89,1202,5530,0,0,0,0,0,0,760110
16/05/20,55,67,1229,5195,0,0,0,0,0,0,760110
16/06/04,51,26,1790,1652,0,0,0,0,0,0,760310
16/05/17,0,0,3013,1745,0,0,0,0,0,0,760210
16/05/29,0,69,0,337,0,0,0,0,0,0,770110
16/05/08,54,53,2321,2138,0,0,0,0,0,0,760210
16/05/31,47,31,1987,849,0,0,0,0,0,0,760410
16/05/09,54,53,2321,2138,0,0,0,0,0,0,760210
16/05/30,83,82,2975,1892,0,0,0,0,0,0,760210
16/05/26,0,0,6,13,0,0,0,0,0,0,761610
16/05/18,0,0,0,297,0,0,0,0,0,0,770110
16/05/24,0,3,0,299,0,0,0,0,0,0,770110
16/05/05,0,2,0,244,0,0,0,0,0,0,770110
16/05/04,0,2,0,299,0,0,0,0,0,0,770110
16/06/01,73,77,1253,5431,0,0,0,0,0,0,760110
16/05/07,40,10,609,1010,0,0,0,0,0,0,760010
16/06/02,0,51,0,276,0,0,0,0,0,0,770110
16/05/06,55,41,2249,2009,0,0,0,0,0,0,760210
16/06/03,57,12,1715,839,0,0,0,0,0,0,760410
16/4/21,53,17,1653,385,0,0,0,0,0,0,760310
16/05/28,0,0,6,13,0,0,0,0,0,0,761610
16/06/05,0,0,6,14,0,0,0,0,0,0,760310
16/05/14,0,46,1850,2842,0,0,0,0,0,0,760210
16/06/06,14,9,1740,892,0,0,0,0,0,0,760310
16/05/22,0,15,0,287,0,0,0,0,0,0,770110
16/06/04,2,140,1112,5360,0,0,0,0,0,0,760110
16/05/09,0,0,0,257,0,0,0,0,0,0,770110
16/05/30,0,0,0,5,0,0,0,0,0,0,700110
16/05/21,73,36,1917,1476,0,0,0,0,0,0,760310
16/05/13,63,10,1865,1062,0,0,0,0,0,0,760310
16/4/11,102,61,1278,416,0,0,0,0,0,0,760310
16/05/10,0,4,0,20,0,0,0,0,0,0,761610
16/05/06,45,314,1031,5089,0,0,0,0,0,0,760110
16/06/03,26,86,1111,5280,0,0,0,0,0,0,760110
16/06/04,13,6,2930,2322,0,0,0,0,0,0,760210
16/06/05,2,142,1136,5378,0,0,0,0,0,0,760310
16/05/29,16,8,78,1182,0,0,0,0,0,0,760010
16/4/7,58,54,0,0,0,0,0,0,0,0,760310
16/05/28,0,0,0,5,0,0,0,0,0,0,700110
16/4/19,10,14,1590,504,0,0,0,0,0,0,760310
16/05/19,0,3,0,11,0,0,0,0,0,0,700110
16/05/23,182,48,3035,2084,0,0,0,0,0,0,760210
16/05/22,6,1,746,534,0,0,0,0,0,0,760010
16/4/28,77,19,1639,899,0,0,0,0,0,0,760310
16/05/20,0,0,0,14,0,0,0,0,0,0,700110
16/05/05,9,15,2301,2080,0,0,0,0,0,0,760210
16/05/04,23,306,860,5441,0,0,0,0,0,0,760110
16/06/01,0,0,6,14,0,0,0,0,0,0,761610
16/05/07,54,53,2321,2138,0,0,0,0,0,0,760210
16/06/02,107,34,1900,1510,0,0,0,0,0,0,760310
16/05/06,59,179,607,818,0,0,0,0,0,0,760010
16/06/03,0,0,6,14,0,0,0,0,0,0,761610
16/06/04,31,30,834,553,0,0,0,0,0,0,760010
16/06/05,51,30,1812,1639,0,0,0,0,0,0,760310
16/05/29,63,63,242,3015,0,0,0,0,0,0,760310
16/05/15,0,49,0,270,0,0,0,0,0,0,770110
16/05/25,64,123,2944,2345,0,0,0,0,0,0,760210
16/05/24,39,81,3035,2275,0,0,0,0,0,0,760210
16/05/23,12,207,1277,5266,0,0,0,0,0,0,760110
16/05/08,34,46,1564,1269,0,0,0,0,0,0,760310
16/05/31,0,0,0,5,0,0,0,0,0,0,700110
16/05/21,24,2,1902,808,0,0,0,0,0,0,760410
16/05/20,0,4,12,9,0,0,0,0,0,0,761610
16/05/12,0,3,0,16,0,0,0,0,0,0,700110
16/05/25,13,195,1299,5518,0,0,0,0,0,0,760110
